Title,Date,URL,Status,Playlists
Cherry Blossom and Compliance - An Intro To the EU CRA - Mike Bursell & Christopher 'CRob' Robinson,2025-12-19,https://www.youtube.com/watch?v=qJIbio4oLr0,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Panel: Expanding Japan's OSPO Ecosystem... Masato E, Kazuki I, Emily L, Shoji K, Masayuki Y & Ana S",2025-12-19,https://www.youtube.com/watch?v=Tmn-fp4nC84,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Running an Automotive Open Source Program at Scale - Ossama Othman, Woven by Toyota",2025-12-19,https://www.youtube.com/watch?v=W9BF3Lmb8gE,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"We Need an Open-source Phone OS - PostmarketOS! - Luca Weiss, Fairphone",2025-12-19,https://www.youtube.com/watch?v=_Z2IYDMYq90,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"How To Integrate Camera Sensors in a Linux System - Laurent Pinchart, Ideas on Board",2025-12-19,https://www.youtube.com/watch?v=eQNHtLqyWNY,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Developing Innovation-Ready Engineers Through Open Source Contribution - Tyler Menezes, CodeDay",2025-12-19,https://www.youtube.com/watch?v=f28bHJ-80AQ,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Putting a Price Tag on Open Source ROI in Enterprise Japan - Younes Hairej, Aokumo Inc.",2025-12-19,https://www.youtube.com/watch?v=f31c1_1gEck,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Panel: Open Source Management Based on Open Source - Nikola N, Marcel K, Takashi N, Ayumi W, Helio C",2025-12-19,https://www.youtube.com/watch?v=jVDONxE1IC4,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Building the Digital Commons for Software Supply Chain - Thomas Steenbergen, AboutCode",2025-12-19,https://www.youtube.com/watch?v=5hd7xTjPcTc,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"What You Can Do: in Your Open Source Community - Ayumi Watanabe, Hitachi Solutions, Ltd.",2025-12-19,https://www.youtube.com/watch?v=85AYdHwSJIs,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Designing Sovereign & Secure Cloud Native Infrastructures for the Public Sect... Michel Schildmeijer,2025-12-19,https://www.youtube.com/watch?v=A2cWPdxknMU,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Innovations in Privacy Technologies: The Keys To Decentralized Networks - Hart Montgomery,2025-12-19,https://www.youtube.com/watch?v=FJrb1ryjQWA,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Enhancing Spatial Safety: Better Array-bounds Checking in C (and Linux) - Gustavo A. R. Silva,2025-12-19,https://www.youtube.com/watch?v=L0XiZ7XhxhQ,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Panel Discussion: Innovation, Interoperability and Scale: How Open Devel... Hart M, Gen N & Mayumi O",2025-12-19,https://www.youtube.com/watch?v=LQ1ctVVm43w,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
A 10-Year Retrospective on Why Our Job Isn't Just About Compliance and Cost Savings - Seoyeon Lee,2025-12-19,https://www.youtube.com/watch?v=OE6QJh2YTII,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Beyond Zstandard: The Future of Data Compression - Yann Collet, Meta",2025-12-19,https://www.youtube.com/watch?v=PyPViJiCewM,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Copyleft and the EU CRA - Jimmy Ahlberg, Ericsson",2025-12-19,https://www.youtube.com/watch?v=KTi_Gyxma_M,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
PETs - A Technical Solution To Digital Sovereignty? - Mike Bursell,2025-12-19,https://www.youtube.com/watch?v=MsenjAZg3gw,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Sponsored Panel: The Journey and Future of... Ayumi W, Kiyoshi O, Naomichi S, Taiki K & Masato E",2025-12-19,https://www.youtube.com/watch?v=hqQQoUd67sw,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Accelerating Automotive Innovation: Highlights From Google Summer of C... Ahmed Wafdy & Amr Elkenawy,2025-12-19,https://www.youtube.com/watch?v=l2DrPjjRtjU,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Keynote: LF Energy: An Innovative Ecosystem Powering the Future of Energy Thr... Christophe Villemer,2025-12-19,https://www.youtube.com/watch?v=lfCwWg1y7sg,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Keynote: The Value of Open Source in Japan, APEC, and Around the World: Insights... Hilary Carter",2025-12-19,https://www.youtube.com/watch?v=mDM8a4iuWTU,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
